,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality_numpy,pagerank,information_centrality,global_reaching_centrality
10FTHF5GLUtl,2694.1999999998984,3.9657629042383886e-05,3.7407517943805703e-06,0.34235609846381637,4.6770069230900465e-06,0.011569051386180857,0.00013513406791006507,0.00036027002130068316,0.2110179478678302
10FTHF5GLUtm,2763.433333333312,4.249425244347691e-05,8.410150257610051e-07,0.34988414432307186,5.257104180380831e-06,0.011569052393518997,0.0001351340598336611,0.00036058787949044255,0.2110179478678302
10FTHF6GLUtl,2632.9928571427163,3.770632829477569e-05,5.215057181453292e-06,0.3348115299334812,6.5308445764131e-06,0.011569051077977547,0.00013513406803847982,0.0003602636131696014,0.2110179478678302
10FTHF6GLUtm,2691.192857142739,4.050410356187813e-05,5.956166136958678e-07,0.3409206100539096,4.684433721743441e-06,0.01156905200753398,0.00013513406017529603,0.0003605754188663742,0.2110179478678302
10FTHF7GLUtl,2631.492857142716,1.88531476766533e-05,4.92506186842e-06,0.33473579442634815,6.285146325748775e-06,0.01156881764315755,0.00013513424122644713,0.0002493149662721104,0.2110179478678302
10FTHF7GLUtm,2689.6928571427375,2.0252034863597044e-05,5.318062639779172e-07,0.34084208586696146,6.400567821121653e-06,0.011568818107935764,0.00013513423729485523,0.0002495104306126218,0.2110179478678302
10FTHFtl,2704.5333333332405,8.513712253570903e-05,3.1330614337993233e-06,0.34338887084048825,7.086216561480266e-06,0.01156940255685692,0.00013513399521353865,0.0004597068790910768,0.2110179478678302
10FTHFtm,2774.8499999999913,8.812884419464807e-05,1.4442195978444712e-06,0.3509795550495707,6.475819175167642e-06,0.011569635338682509,0.0001351340373548222,0.000503613392318958,0.2110179478678302
11DOCRTSLtm,2203.6095238093835,1.3720316683594419e-06,3.493754401743486e-05,0.279450088756279,3.914009718307945e-05,0.011568700632661097,0.00013513446159092848,0.00016208856427140172,0.2110179478678302
11DOCRTSLtr,2105.8857142857437,3.792041421429232e-08,1.950114756719155e-05,0.26997737721666787,2.1671735599855496e-05,0.011568700337558002,0.00013513446299702844,0.00016198369728161728,0.2110179478678302
11DOCRTSTRNtm,2204.4095238093823,2.744008177114621e-06,3.7940512541260735e-05,0.2794923129226004,3.956185947852321e-05,0.011568817055823268,0.0001351344637223975,0.0002384429674171924,0.2110179478678302
11DOCRTSTRNtr,2106.3523809524095,3.8966302490204215e-08,1.9426983640407444e-05,0.2700463520566444,2.116618470791351e-05,0.011568700338722182,0.00013513423777180322,0.00017611405451752415,0.2110179478678302
13DAMPPOX,3775.8833333336115,0.01471468697449464,0.00011845717079657216,0.4485601697484086,0.0001092425538889467,0.011680801848276452,0.00013513542756256474,0.0008076650268255273,0.2110179478678302
1a_24_25VITD2Hm,3220.866666667029,0.0018666977632004038,0.0004330511300169674,0.3774422282303729,0.00044866908443408815,0.011642204810495497,0.00013513598969549368,0.0008049704086894826,0.2110179478678302
1a_24_25VITD3Hm,3220.866666667029,0.0018667135310660864,4.3357218503534194e-05,0.3774422282303729,6.351262308022046e-05,0.011642204812836631,0.0001351358095153135,0.0008049717246253563,0.2110179478678302
1a_25VITD2Hm,3220.1166666670288,0.0018666956731339126,2.8029386542502378e-05,0.3773844741405692,4.364734095962748e-05,0.011642089123481908,0.0001351355392416653,0.0008049613610612774,0.2110179478678302
1a_25VITD3Hm,3220.1166666670288,0.0018666956731339126,2.8029386542502378e-05,0.3773844741405692,4.364734095962748e-05,0.011642089123481908,0.0001351355392416653,0.0008049613610612727,0.2110179478678302
1MNCAMti,4357.349999999857,0.02895637649726414,0.0004392407297658058,0.5093274592138776,0.0003973969477593986,0.011776537734464926,0.00013513716747645799,0.0008099937634440586,0.2110179478678302
1PPDCRp,2742.7833333332196,7.091794143466075e-05,1.234201992944267e-06,0.33794646935233397,1.6597309161434218e-06,0.011593529347113494,0.0001351348812765976,0.0007881697194209075,0.2110179478678302
24_25DHVITD2t,1655.7238095240177,2.0917949762271206e-09,0.00027030679821597525,0.2151685229883386,0.000270306798215975,0.011568699896508092,0.0001351355855855856,8.110670446853988e-05,0.2110179478678302
24_25DHVITD2tm,2166.4214285713674,2.7439775798394143e-06,0.0005405405207903674,0.27412841317476194,0.0005405405207903668,0.011568817055818942,0.00013513446372240807,0.0002026984448273408,0.2110179478678302
24_25DHVITD3t,2641.616666666551,2.0566583289249677e-05,0.0002703067982159752,0.33703821801120576,0.000270306798215975,0.011568817620704726,0.00013513540618338547,0.00018721666069129112,0.2110179478678302
24_25DHVITD3tm,2748.8999999999623,2.46816547513031e-05,4.881799929266653e-06,0.3484341888391806,1.5703340116601487e-05,0.01156905120433787,0.00013513424139992918,0.0003476768263337208,0.2110179478678302
24_25VITD2Hm,3222.283333333697,0.0018667040386102867,0.0008833797712728777,0.3775385243392183,0.0008989977256900103,0.011642436191478676,0.000135136440152668,0.0008049896966190276,0.2110179478678302
24_25VITD3Hm,3222.283333333697,0.0018668398363945067,6.266652426529819e-05,0.3775385243392183,8.753131030832255e-05,0.011642436205563912,0.00013513605522228307,0.0008049941777965043,0.2110179478678302
24NPHte,2639.949999999884,2.0548542806666833e-05,0.00027030679821597525,0.3369154410090615,0.0002703067982159748,0.011568701925565295,0.00013513513591491088,0.00011586578635437016,0.2110179478678302
25HVITD2t,1657.4738095240177,6.285800821763828e-09,0.00013513513019759184,0.21522485310372913,0.00013513513019759176,0.011568931282104358,0.00013513524774774773,0.00019783733264279815,0.2110179478678302
25HVITD2tin,1657.4738095240177,6.285800821763828e-09,0.00013513513019759184,0.21522485310372913,0.00013513513019759176,0.011568931282104358,0.00013513524774774773,0.00019783733264279815,0.2110179478678302
25HVITD2tin_m,2168.3880952380314,4.1191196536460804e-06,0.00040529577713040084,0.2741995256448266,0.0004052957771304005,0.011569164864570164,0.0001351346910723784,0.0003339200146824715,0.2110179478678302
25HVITD2tm,2168.3880952380314,4.1191196536460804e-06,0.00040529577713040084,0.2741995256448266,0.0004052957771304005,0.011569164864570164,0.00013513469107237844,0.00033392001468247114,0.2110179478678302
25HVITD3t,2645.616666666552,8.238029996237817e-05,0.0001351351301975918,0.33728404066189543,0.00013513513019759163,0.011569402185978577,0.00013513487719054787,0.000434317771752916,0.2110179478678302
25HVITD3tin,2645.616666666552,8.238029996237817e-05,0.0001351351301975918,0.33728404066189543,0.00013513513019759163,0.011569402185978577,0.00013513487719054787,0.0004343177717529153,0.2110179478678302
25HVITD3tin_m,2752.399999999965,8.786437094072425e-05,2.769437813196997e-06,0.3486147757255937,8.89893113276438e-06,0.011569752191599798,0.00013513425609948493,0.0005165960130639025,0.2110179478678302
25HVITD3tm,2752.399999999965,8.786437094072425e-05,2.769437813196997e-06,0.3486147757255937,8.89893113276438e-06,0.011569752191599798,0.00013513425609948496,0.0005165960130639015,0.2110179478678302
25VITD2Hm,3221.5333333336966,0.0018667019485437957,0.0004778099604866849,0.3774807407785317,0.000493427914903812,0.011642320504465089,0.0001351359896988609,0.0008049806886722311,0.2110179478678302
25VITD3Hm,3221.5333333336966,0.0018668219784623331,4.730215448347483e-05,0.3774807407785317,6.762949036693797e-05,0.01164232051620919,0.00013513578494865616,0.0008049838727263053,0.2110179478678302
2AMACHYD,3801.0500000002385,0.014647493821536536,0.0001010180108829247,0.4547633681622618,0.00011039827680230668,0.011676512211119022,0.0001351351464481129,0.000807462944397523,0.2110179478678302
2AMACSULT,4051.883333333539,0.02451652953709555,6.51057234300289e-05,0.47797157622739017,7.247290853842375e-05,0.011722829497335472,0.00013513516094425354,0.0008090374519661545,0.2110179478678302
