,ID,Name,Reaction,Flux,Sensitivity
0,DM_10fthf5glu,10-formyltetrahydrofolate-[Glu](5) Demand,10fthf5glu[cA] --> ,0.0,59.31811320754673
1,DM_10fthf6glu,10-formyltetrahydrofolate-[Glu](6) Demand,10fthf6glu[cA] --> ,0.0,31.76150943396202
2,DM_10fthf7glu,10-formyltetrahydrofolate-[Glu](7) Demand,10fthf7glu[cA] --> ,0.0,0.0
3,DM_5thf,pentaglutamyl folate (THF) Demand,5thf[cA] --> ,0.0,63.52301886792404
4,DM_6dhf,haxglutamyl folate (DHF) Demand,6dhf[cA] --> ,0.0,-158.8075471698101
5,DM_6thf,hexaglutamyl folate (THF) Demand,6thf[cA] --> ,0.0,31.76150943396202
6,DM_7dhf,heptaglutamyl folate (DHF) Demand,7dhf[cA] --> ,0.0,-190.56905660377214
7,DM_7thf,heptaglutamyl folate (THF) Demand,7thf[cA] --> ,0.0,0.0
8,DM_ahcys,ahcys demand,ahcys[cA] --> ,0.0,-0.25484276729567057
9,DM_atp(c),atp demand,atp[cA] + h2o[cA] --> adp[cA] + h[cA] + pi[cA],0.0,-1.260000000000013
10,DM_fald,Formaldehyde Demand,fald[cA] --> ,0.0,0.0
11,DM_for,Formate Demand,for[cA] --> ,0.0,-3.0581132075471498
12,DM_pheme(c),DM_pheme(c),pheme[cA] --> ,0.0,-311.110566037733
13,DM_q10(m),DM_q10(m),q10[mA] --> ,0.0,2.293584905660353
14,DM_thf(c),thf demand,thf[cA] --> ,0.0,190.5690566037721
15,EX_3aib(e),L-3-Amino-isobutanoate exchange,3aib[e] --> ,0.0,-29.09018867924506
16,EX_4abut(e),4-Aminobutanoate exchange,4abut[e] --> ,0.0,-28.59018867924507
17,EX_ac(e),Acetate exchange,ac[e] --> ,0.0,-20.736981132075357
18,EX_acac(e),Acetoacetate exchange,acac[e] --> ,0.0,-39.94490566037717
19,EX_acald(e),Acetaldehyde exchange,acald[e] --> ,0.0,-28.177358490565886
20,EX_ala-B(e),beta-Alanine exchange,ala-B[e] --> ,0.0,-15.756855345911859
21,EX_arg-L(e),L-Arginine exchange,arg-L[e] --> ,0.0,0.0
22,EX_asn-L(e),L-Asparagine exchange,asn-L[e] --> ,0.0,0.0
