,ID,Name,Formula,Compartment,Charge
0,10fthf5glu_c,10-Formyltetrahydrofolate-[Glu](5),C40H46N11O19,c,-5
1,10fthf5glu_l,10-Formyltetrahydrofolate-[Glu](5),C40H46N11O19,l,-5
2,10fthf5glu_m,10-Formyltetrahydrofolate-[Glu](5),C40H46N11O19,m,-5
3,10fthf6glu_c,10-Formyltetrahydrofolate-[Glu](6),C45H52N12O22,c,-6
4,10fthf6glu_l,10-Formyltetrahydrofolate-[Glu](6),C45H52N12O22,l,-6
5,10fthf6glu_m,10-Formyltetrahydrofolate-[Glu](6),C45H52N12O22,m,-6
6,10fthf7glu_c,10-Formyltetrahydrofolate-[Glu](7),C50H59N13O25,c,-6
7,10fthf7glu_l,10-Formyltetrahydrofolate-[Glu](7),C50H59N13O25,l,-6
8,10fthf7glu_m,10-Formyltetrahydrofolate-[Glu](7),C50H59N13O25,m,-6
9,10fthf_c,10-Formyltetrahydrofolate,C20H21N7O7,c,-2
10,10fthf_l,10-Formyltetrahydrofolate,C20H21N7O7,l,-2
11,10fthf_m,10-Formyltetrahydrofolate,C20H21N7O7,m,-2
12,11docrtsl_c,11-Deoxycortisol,C21H30O4,c,0
13,11docrtsl_m,11-Deoxycortisol,C21H30O4,m,0
14,11docrtsl_r,11-Deoxycortisol,C21H30O4,r,0
15,11docrtstrn_c,11-Deoxycorticosterone,C21H30O3,c,0
16,11docrtstrn_m,11-Deoxycorticosterone,C21H30O3,m,0
17,11docrtstrn_r,11-Deoxycorticosterone,C21H30O3,r,0
18,13dampp_c,Trimethylenediaminium,C3H12N2,c,2
19,h2o_c,Water,H2O,c,0
20,o2_c,Oxygen,O2,c,0
21,bamppald_c,Beta-Aminopropion Aldehyde,C3H8NO,c,1
22,h2o2_c,Hydrogen Peroxide,H2O2,c,0
23,nh4_c,Ammonium,H4N,c,1
24,h2o_m,Water,H2O,m,0
25,o2_m,Oxygen,O2,m,0
26,2425dhvitd2_m,"24R,25-Dihyoxyvitamin D2",C28H44O3,m,0
27,h_m,Proton,H,m,1
28,nadph_m,Nicotinamide Adenine Dinucleotide Phosphate - Reduced,C21H26N7O17P3,m,-4
29,1a2425thvitd2_m,"1-Alpha,24R,25-Trihydroxyvitamin D2",C28H44O4,m,0
30,nadp_m,Nicotinamide Adenine Dinucleotide Phosphate,C21H26N7O17P3,m,-2
31,2425dhvitd3_m,"(24R)-24,25-Dihydroxycalciol",C27H44O3,m,0
32,1a25dhvitd2_m,"1-Alpha,25-Dihydroxyvitamin D2",C28H44O3,m,0
33,1a25dhvitd3_m,Calcitriol,C27H44O3,m,0
34,h_c,Proton,H,c,1
35,1mncam_c,1-Methylnicotinamide,C7H10N2O,c,2
36,1mncam_e,1-Methylnicotinamide,C7H10N2O,e,2
37,atp_c,Adenosine Triphosphate,C10H13N5O13P3,c,-3
38,adp_c,Adenosine Diphosphate,C10H13N5O10P2,c,-2
39,pi_c,Orthophosphate,HO4P,c,-2
40,h_x,Proton,H,x,1
41,1pipdn2c_x,1-Piperideine-2-Carboxylate,C6H9NO2,x,0
42,nadh_x,Nicotinamide Adenine Dinucleotide - Reduced,C21H27N7O14P2,x,-2
43,Lpipecol_x,L-Pipecolic Acid,C6H11NO2,x,0
44,nad_x,Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,x,0
45,2425dhvitd2_c,"24R,25-Dihyoxyvitamin D2",C28H44O3,c,0
46,2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2",C28H44O3,e,0
47,2425dhvitd3_c,"(24R)-24,25-Dihydroxycalciol",C27H44O3,c,0
48,2425dhvitd3_e,"(24R)-24,25-Dihydroxycalciol",C27H44O3,e,0
49,25hvitd2_m,25-Hydroxyvitamin D2,C28H44O2,m,0
50,25hvitd3_m,Calcidiol,C27H44O2,m,0
51,24nph_e,2-Hydroxy-4-Nitrophenolate,C6H5NO4,e,0
52,24nph_c,2-Hydroxy-4-Nitrophenolate,C6H5NO4,c,0
53,25hvitd2_c,25-Hydroxyvitamin D2,C28H44O2,c,0
54,25hvitd2_e,25-Hydroxyvitamin D2,C28H44O2,e,0
55,25hvitd3_c,Calcidiol,C27H44O2,c,0
56,25hvitd3_e,Calcidiol,C27H44O2,e,0
57,2amac_c,2-Aminoacrylic Acid,C3H5NO2,c,0
58,pyr_c,Pyruvate,C3H3O3,c,-1
59,nadph_c,Nicotinamide Adenine Dinucleotide Phosphate - Reduced,C21H26N7O17P3,c,-4
60,nadp_c,Nicotinamide Adenine Dinucleotide Phosphate,C21H26N7O17P3,c,-2
61,paps_c,3'-Phosphoadenylyl Sulfate,C10H11N5O13P2S,c,-4
62,Lcyst_c,L-Cysteic Acid,C3H6NO5S,c,-1
63,pap_c,"Adenosine 3,5-Bismonophosphate",C10H11N5O10P2,c,-4
64,L2aadp_c,L-2-Aminoadipate,C6H10NO4,c,-1
65,L2aadp_m,L-2-Aminoadipate,C6H10NO4,m,-1
66,akg_m,2-Oxoglutarate,C5H4O5,m,-2
67,akg_c,2-Oxoglutarate,C5H4O5,c,-2
68,2dr1p_c,2-Deoxy-D-Ribose 1-Phosphate,C5H9O7P,c,-2
