name,ID,treatment_1,treatment_2,treatment_3,control_1,control_2,control_3
bg_1,1,98769372.14306307,55528720.54417738,216372414.52081868,70057878.73631307,314970404.22117734,4478205826.7538185
bg_2,2,21576971.053805828,15703116.649842966,49743142.46772295,3431646477.0052056,735515564.3961108,24453279.165751483
bg_3,3,574350429.6421824,1537885239.8130791,8727327946.74671,254444554.86447626,11764282.588996613,53031820.06809807
bg_4,4,20926171.01041126,47644294.33891034,88937903.21600446,599913421.7667134,43731828.25099394,297274233.6176214
bg_5,5,164374921.566757,728256655.9291399,68959571.66994625,495906095.4665771,1510632310.5683265,417270586.72884667
bg_6,6,13812640.298623255,48371436.54528453,393969615.43862164,238124035.25148687,490870629.3990395,297274233.6176214
bg_7,7,88136555.06759642,17772066.27808197,366207963.2537592,571116875.6060084,86861612.05388229,707378547.4823047
bg_8,8,105410193.61683959,208872786.6592649,73972452.45856713,388641776.96318084,79218163.88216193,22016509.605764043
bg_9,9,130638486.54744118,39237601.91501327,308180055.6925357,96440966.22034897,464504647.61072516,183905143.2806757
bg_10,10,277036369.6568203,25740165.681404106,157657236.48363522,52182870.63768213,266965884.98227397,58796547.63394378
bg_11,11,33472139.77022252,356331678.1510023,170812208.92347386,70057878.73631307,1632449168.2997541,159495602.01498222
bg_12,12,73693086.7182293,401601773.4321234,77835427.60794792,43978362.81643047,687665859.9487267,125038216.00274287
bg_13,13,104675135.86622114,140140716.69958666,85320374.41731551,49183386.84145581,35593854.241729446,137706953.72083384
bg_14,14,11304001.267050881,150992970.3898792,77634133.40463935,231444853.1283955,25053099.430790316,1383280617.7692878
bg_15,15,36291617.977231175,7321655221.5112715,566362379.2020601,641905928.1211988,3182580138.558127,171064311.90028828
bg_16,16,127662219.86547929,661898838.7405932,64754244.06763004,78461092.2639284,66658359.89027794,113274574.32250358
bg_17,17,62203597.742606945,91531146.73185506,224521108.9091951,21171241.066314764,168539452.0773363,13732377.1762181
bg_18,18,246112428.88367343,59133616.9833477,401333915.3373952,356828148.05531454,699984139.9006155,23547340.36557625
bg_19,19,175715714.06743577,228381941.11307803,49130353.88921717,86327258.73088124,595179747.7565033,321257633.07489043
bg_20,20,111449212.01241519,37497221.78303562,916473532.4711971,39179881.774805695,66178341.05149938,9361365.284207297
bg_21,21,267990210.9467729,65700401.20556389,631892704.028691,131597340.23318289,95104890.01414198,136167253.42543426
bg_22,22,136166385.4830314,191453944.54368454,3515810484.914648,105422739.18134734,85334816.50120127,148649763.86656496
bg_23,23,4408616.4493433805,31471938.099200808,278541692.2976223,1109719103.7133315,202984522.09190968,137893500.98212472
bg_24,24,373082524.3930421,845452293.0675471,19188096.895178758,46008800.89299846,1449721746.509438,66092733.97954492
bg_25,25,38191650.68605857,16900579.968411468,57756595.84667626,25540015.437832072,74546386.89422192,569280917.6985811
bg_26,26,69145932.07879257,714969441.2186223,187083683.66243294,180345572.4268997,26286131.25868273,153544403.6496348
bg_27,27,150628498.02212226,23230557.02372057,50416041.14111242,278553832.427898,614226973.138429,44455768.7968436
bg_28,28,119412193.4538992,87575543.43945268,41428032.65836467,46840985.71034809,1303524024.1841173,342812775.2031389
bg_29,29,472572582.72507316,12699343.200519167,20054403.963440556,113921107.07493582,39123331.85933454,30939704.495822307
bg_30,30,75124799.3072812,198919787.98915195,452378212.01147306,67566104.63873154,76277098.36005524,148649763.86656496
bg_31,31,59220186.53147437,125936941.43835077,15568292.291420225,152397354.43655312,1233364780.0824041,193647047.0253961
bg_32,32,777425281.5572866,34658948.93666143,140196981.88285768,245280763.79458815,17337520.632383857,15047881.849072233
bg_33,33,259722820.68764755,465671311.06523985,1004541808.1999874,434188135.2681356,9544972.755489198,6856572.535870418
bg_34,34,170801411.06035239,7321655217.596055,17753515.024182584,20161322.77286975,60871526.643328905,49688840.19357714
bg_35,35,475823974.8644043,7321655217.662452,43711915.120852225,20851422.488913953,364415974.4725569,267395643.25748968
bg_36,36,570810161.7040044,834893729.7890788,2423266189.761735,483993865.6277906,131014496.71210232,62801791.74712011
bg_37,37,431607981.1147857,277591614.5678897,262874396.5574268,121301781.00890315,29982560.188823506,192364259.48016378
bg_38,38,254146506.65773448,7321655213.254106,1160664459.3193393,486788417.35492337,40196338.76799213,117745235.84152408
bg_39,39,245953439.48855567,29112213.046011273,46098880.120877534,389291772.3359459,192296369.09687412,33250135.44450299
bg_40,40,129786679.86572936,164678674.4935355,83820549.4067875,294730204.36954623,92899548.25503868,212354216.35977057
bg_41,41,37686396.960505016,450749598.28924423,2056284.9564241602,333919614.13096416,75750092.23778775,280030361.0851009
bg_42,42,72922092.98949298,1936020668.230659,105343189.91732207,3431646483.932302,22985361.58919329,56433078.516145535
bg_43,43,33784257.574466474,137400011.7758661,168535611.3214699,152538601.0668793,11343382.531785863,423608668.8912062
bg_44,44,77530183.48368734,450749598.28924423,968274010.4199443,477817588.40445244,65584960.213412285,563140548.7431705
bg_45,45,80591469.26712906,176078374.59038472,396475014.477855,208236252.61270398,383645810.46101445,345509882.8232797
bg_46,46,263613675.9569389,491622922.73439586,17709771.389604595,23378544.053468212,36050742.58960829,225079189.24241757
bg_47,47,2094942.8826654952,469968924.1566855,1477918.1021026738,33916735.23932423,152630350.86672258,24708299.721164268
bg_48,48,737058131.0752971,7321655224.017013,243609175.71089348,897497034.9152119,1168663322.4713564,190877185.76912206
bg_49,49,173815865.1377548,21615746.040109366,760424199.7016891,83437027.78075455,269729011.0004468,871414902.6063867
bg_50,50,81814810.88409182,150142787.26571164,319838171.87517893,353811227.44087684,383645810.46101445,825304981.6335112
bg_51,51,212553583.67231584,254100237.08287284,445256198.3039745,1534153202.6413567,3182580142.8190527,637553684.1396058
bg_52,52,18945203.383788243,7683242.024332452,32397583.487183247,1102218736.0068114,136106713.40460202,5908647.331849113
bg_53,53,132406598.66032566,34870154.50122345,114427574.57350986,71079486.92545138,37912198.77361693,444553112.09619564
bg_54,54,7400117.59349917,56873992.14356012,9136259.104759408,22016960.46480668,70701478.35275833,203625527.93667722
bg_55,55,590800989.9287657,131539959.01896971,144995564.5562461,183374390.24141824,6601990.484082654,229488834.41339186
bg_56,56,70599861.81626853,7321655223.885266,74704800.8197531,3117095994.8094277,3182580142.7024093,148548183.97527057
bg_57,57,10533302.740696782,497027092.3081894,889456587.3297173,105878165.6583472,161734908.96320245,384216325.8873464
bg_58,58,1023174.837386746,97967562.69811186,465113688.4270862,64593742.991094224,1051082720.4391601,213835050.837923
bg_59,59,81056996.3171841,270948793.52743155,670622491.3925292,3576446122.48828,857644089.1511434,301566837.7898211
bg_60,60,123909737.78973807,28651780.15369915,31378898.48184095,966246594.1355885,171342896.52415445,65480820.542876996
bg_61,61,540367203.5460134,89534811.57387094,1098846616.214231,111879806.27086523,103843474.84357452,96021314.89891797
bg_62,62,8179144307.4232855,260707506.54896036,165410770.02336484,56313108.97118412,1522454996.353766,32992588.489938777
bg_63,63,114444348.22216259,83438458.25179048,55971964.63902013,120223769.75431855,11207148.677146321,41565424.72851216
bg_64,64,40823501.10698454,7434131.723425423,89995690.54918621,50125758.838431954,3774397.8047435735,129387286.18928947
bg_65,65,63670967.39544327,91805779.42163098,60710566.433546215,31992339.85177717,35748800.4758479,135084328.00416365
bg_66,66,68644849.69261992,118233801.36810412,604611303.5272173,3431646491.7975955,233935450.7909656,637553684.1396058
bg_67,67,84707837.41166817,51770184.78464435,1422196017.611337,24288320.919197407,282150551.3374953,36735855.94487198
bg_68,68,30423876.810031313,192243372.11563152,8854447.311772443,567186279.3008457,3182580143.157064,35562324.76825486
bg_69,69,5341459.820754727,221959148.40842065,56389807.55966539,212029991.49982178,548872361.6063926,391009708.88775563
bg_70,70,354401610.37576866,101041266.91515073,143772832.47518584,120097932.62241863,42598116.2159221,68582969.97963601
bg_71,71,14550843.937460907,22880184.664445765,10474864.963501113,82275379.55833757,90235595.26371372,8088579.022528408
bg_72,72,273958093.24150777,131874443.79606262,40687805.844021335,73349385.07745335,205414464.40236434,12219987.438320443
bg_73,73,10937495.74060796,62280048.29061343,3983160885.6614985,6812130.801556253,95984609.9066357,84087542.99034196
bg_74,74,45343033.32287632,31125432.57773416,183410252.1375711,298659162.1787906,187711089.29036233,41981847.36915888
bg_75,75,90141134.85268044,2976581.9356173025,76318152.62091899,135192281.29951563,90650999.00572245,90428108.6678072
bg_76,76,193285494.649707,1204480784.6145182,51715120.52828256,128458660.19524781,23508926.62844751,300845249.28015715
bg_77,77,1481272922.9410453,197906017.2013591,111440596.69659264,271677238.02944887,168180873.34049734,96363036.267125085
bg_78,78,1987971434.2576013,116049336.01416056,28204902.962746803,120426676.72712444,85476093.90663433,73986428.80071642
bg_79,79,11533199.77001929,110103165.75091451,22289874.030026663,56478044.94462379,81422280.72217366,254081462.16505125
bg_80,80,72135553.80843863,44404650.71130707,30707394.678868055,27437382.196274735,21621622.858274203,60295330.15657887
bg_81,81,131899020.62658927,17796334.521652944,13073659.718281064,117601676.97178593,60940435.60850536,264412964.83473572
bg_82,82,198507249.63850394,603544727.3122648,349442108.5987685,50937749.55378357,15934771.600170339,234525410.9185256
bg_83,83,12884451.395040156,93742499.27286287,232571097.43818888,45496907.03067377,133288315.10191327,29282273.13811693
bg_84,84,622867575.6001904,42390935.933522485,25151526.348557748,7139816.751634329,266624837.40078253,103190693.55298285
bg_85,85,291531877.8899995,28092897.024087403,120699734.15694097,150624068.32448438,2142007938.324546,51762442.0604126
bg_86,86,17920956.980996255,1106866943.3968437,49079063.757145606,103405799.97361852,193537516.68846795,1073396692.2743577
bg_87,87,104318380.16437043,3444465030.595458,280059356.2626728,62560224.86042212,73581458.35415284,1377027639.0172865
bg_88,88,687847510.3642621,562861948.7427999,889456587.3297173,40232029.65158375,233411287.97385794,433864727.43896365
bg_89,89,171364440.73218086,119121816.54533203,40777302.87301428,286415065.779291,243977533.88699445,955979461.2895677
bg_90,90,1614122069.9489508,873787159.1282051,20998617.644089427,112608261.36357711,393477294.90237087,23914817.274423398
bg_91,91,199780665.81965834,23336845.40035594,107792845.5628461,547506510.8711784,3182580141.240299,4478205824.010398
bg_92,92,656749465.3628592,27790811.99545714,109192179.60414232,38799500.084704146,3427609.602473547,29487793.962679878
bg_93,93,35795665.57557848,62347589.34039967,377751807.90579927,140327264.34350687,191886868.5367297,305334511.3421715
bg_94,94,147133899.2198051,830583060.9434297,19333932.937831428,86183004.27703834,145015452.9700117,131065942.8396437
bg_95,95,241581475.7806846,447980255.90403074,426073825.14945793,20827653.48418675,168446151.75720844,19447996.10110654
bg_96,96,680843368.9426388,252833660.5687355,70822423.18828923,16172852.52438149,82593792.75302358,41175884.73798859
bg_97,97,137681672.22804677,48371436.54528453,130721283.03968908,54235757.78598898,333871146.39066416,100073516.08276814
bg_98,98,406082391.1891801,5990319.209732463,41619877.126674175,18114307.94953529,253868643.73881254,127648544.34169964
bg_99,99,1083377638.031995,25165778.25930643,103144634.0789311,101266045.8693737,110393735.1449622,38266425.39972799
bg_100,100,197508581.76834726,46673576.626676984,220858451.5615048,3003506949.1850557,52558624.28767707,14995453.434215434
bg_101,101,191264602.4136065,315347553.60327345,206157031.66457918,389279759.48274684,579571993.9443526,160284323.69417462
bg_102,102,103199460.97566526,130439414.96046597,21967631.57217748,44852189.277411744,79086450.92901564,4478205825.281691
bg_103,103,280921504.33241034,12245710.900080306,34236631.685651705,324774920.9944607,200247655.28716215,44146623.07771251
bg_104,104,34031099.37540391,206169987.1945082,120535902.11476989,66609201.81009114,28018851.019339778,196762692.50432616
bg_105,105,537024375.5676774,205450531.87308308,177186697.75462827,515453514.4844575,45397104.32458943,565252175.4122413
bg_106,106,2169746332.924504,12896380.389400424,73026011.73067196,143757218.99081036,109595858.7116756,940571301.8481073
bg_107,107,1024802223.9834621,395177213.8998027,64080144.0625365,21147106.34073895,626622374.8077406,753580667.3615141
bg_108,108,707480324.6009551,169003488.870459,74770459.69333778,82602562.19372623,32344837.569362495,363006799.77707314
bg_109,109,112421752.98369466,7321655214.691197,159556049.5685916,532205022.07022357,3182580144.7083344,290374438.47985286
bg_110,110,73752258.69470415,224586893.65926683,4718060.5206846725,191428353.60246423,494140515.63603705,428925244.8074327
bg_111,111,20143685.32459825,15461280.768753119,236819123.67644036,599913421.7667134,54330517.596549794,28226879.81349024
bg_112,112,73376028.43700098,301708917.7733252,11992969.520522436,293257402.3793452,434519249.2313301,462067261.2661006
bg_113,113,18011942.407051794,199066051.921999,635397673.9442148,462323290.1986025,818007866.6197883,365817809.9224665
bg_114,114,486847307.651435,1009321044.7776686,1571020688.1265078,88253879.1181487,3182580143.293391,276518857.6578955
bg_115,115,294969092.24954844,112801435.69402455,72971924.24102443,216730899.9150072,92846084.83036764,49784814.9363939
bg_116,116,57181502.293258384,111598712.31998943,168882046.1051374,336390588.80188614,250923112.14134824,170122457.1073261
bg_117,117,1084824298.38839,1033369175.4984734,958217902.1453815,24663208.90943784,165988636.70814288,459719718.42837745
bg_118,118,562624807.6732184,21007105.64221155,61445348.37460127,31103568.28003084,197187641.74675095,46636143.66493247
bg_119,119,60108355.7076811,905197937.4726464,10185681.935590452,216367168.7612508,568131584.635183,79053071.93714203
bg_120,120,1511670355.6306045,306169544.2014565,53786259.39164812,89204535.3898499,23306041.800700612,892913249.8000196
bg_121,121,4386550625.605829,7321655211.911326,8727327941.314121,268947192.95356846,101586941.5883041,8064358.437029842
bg_122,122,13516118.08651636,99285934.4575949,6889174.921986357,249971368.0524499,236022593.3881775,273289494.8173141
bg_123,123,196244706.2042351,18374582.275624402,2043206768.6863215,54107979.36474284,69806564.82412764,274889287.1065822
bg_124,124,37021021.29606469,827869888.6280445,122753717.94381434,180912729.9577338,131567536.94304532,72277310.98795752
bg_125,125,697699834.2001448,459740549.2256253,29007727.770707607,166001027.52467424,972331554.4471468,2593355790.753859
bg_126,126,736440533.4548599,53885837.077841535,10105939.78935032,624924217.4515531,90540559.43059744,279965543.4681194
bg_127,127,34310317.57006212,421340906.6818825,271635734.69720155,88503176.55876166,57451909.78041026,354906036.050313
bg_128,128,157199273.40846503,108707491.94451943,43231171.53770529,55119217.765921906,12952981.628693981,160178209.89775518
bg_129,129,173815865.1377548,22667874.837390766,1227924846.6695454,179769331.32676888,56450374.86378609,30908184.29968981
bg_130,130,12966626.46414917,3980353289.432895,573830570.2735468,82147592.61206724,1154413499.602219,485797060.9499118
bg_131,131,89983329.30622731,70997240.70452435,96770194.21751256,885466265.8446035,47612605.45484594,315708472.6473374
bg_132,132,79397116.73358923,38170464.24382253,239800635.02595818,226087867.5891813,52089361.91804875,1388066641.2728193
bg_133,133,127227130.55833147,7321655224.855918,182469642.2629799,12078651.165450959,453166820.9055095,323083922.5157937
bg_134,134,843103917.3147336,379872166.97367233,158357395.96634138,84441067.19165625,254178022.10905063,145038359.59334087
bg_135,135,293329518.7225249,18335342.340021964,167954493.2158618,279791438.12749106,21559922.15566107,318743591.6686346
bg_136,136,68127630.80094397,157777035.13899812,53809162.737988055,32923135.41447226,59212014.58114239,19688860.37415492
bg_137,137,6481035.49232114,112808190.71739751,146247071.23627868,3431646484.0645056,74276645.64098875,50194457.95085113
bg_138,138,127376879.13058205,172335558.92231816,1005431762.743577,588692335.9046749,31164223.095931713,196102985.76395714
bg_139,139,291134855.007038,307069838.6841979,3172137419.1124606,464359232.3370669,115232717.44579446,166812404.99340346
bg_140,140,1637334194.9540014,16394103.905386053,9215634.26979765,85877629.14867535,15649019.172351098,1348328051.5530353
bg_141,141,174072681.6509191,288021640.7664524,2061460.6895250762,3576446122.233304,132251500.90504406,21906752.41208061
bg_142,142,20721185.407971766,36900451.34673834,516944469.5695091,40832496.985422306,1631954562.4039593,35229786.61569257
bg_143,143,207550934.31153342,190299026.42892498,8727327947.575878,16407604.77852927,39973990.06599965,491697771.0147732
bg_144,144,40406789.43981921,679753380.0898771,169343948.5895384,20497125.657625407,63948135.77408886,41053414.827500604
bg_145,145,394651830.6166764,878160615.4188561,19072507.73308444,29370935.631129205,67096766.48358577,42284844.50671287
bg_146,146,95222092.99491344,510088868.6117699,449059841.3136999,63614696.780949436,1721221906.228479,184803655.23536676
bg_147,147,69819036.7563069,140966883.79012287,37827065.25911013,180351198.98758665,85321297.83430032,406714067.563025
bg_148,148,171449751.42852262,241124256.72690576,138537600.62825787,84494353.93447019,533301999.7164212,51130768.12864621
bg_149,149,1078244089.697126,739532083.8949468,77809888.33454598,1006797266.9946681,13445868.299701096,90213266.03190237
bg_150,150,2639883547.9337063,509930713.81922805,126041669.5646442,56253940.88690775,255401921.01105943,732919829.3782359
bg_151,151,193427772.17302218,137252647.2303551,2242414160.943256,190282741.5616016,290368523.2467098,34225807.62091074
bg_152,152,46541723.33086395,163349424.533884,55370344.576332614,207905886.6521554,204209666.4673513,94847300.84953398
bg_153,153,11706926.100317359,833918067.8037472,88262782.28878489,10267575.487005115,38989935.917495795,95978431.37006763
bg_154,154,439333061.7284538,8964426.743359454,1107093349.896089,260941762.29823148,197060184.76188412,307505455.27831715
bg_155,155,37732796.8558471,18333280.651554167,59082322.69691966,83779846.85127221,65740370.505328745,75353841.33413625
bg_156,156,147188264.60637492,97967772.40220098,401261541.70877963,278488950.17627233,32774786.077199936,412433244.5761252
bg_157,157,21562576.249764957,221243273.75179824,726867985.7647727,91643950.67158727,27928467.236496545,1668347419.9279768
bg_158,158,2080561556.2303755,48843304.77627605,97432057.23978117,738745113.0863796,58450102.380656704,5945521.980528583
bg_159,159,15424317.26148943,76933543.19752008,28195706.60801059,8842444.676400399,351695238.15611637,9562843.793414153
bg_160,160,269922940.54255176,16845921.467896182,270622119.4656023,60694278.532640144,22094844.11531325,254498254.61423045
bg_161,161,112917924.57792282,1301751189.723876,172328862.38147604,355880191.26205266,87710564.63947597,321288007.6553316
bg_162,162,580246431.9231886,924673098.4197989,97062867.78300524,46990376.78569329,71117199.47068352,15047881.849072233
bg_163,163,6919807.829067152,7321655213.254106,111700019.30469564,103726930.33767244,436389762.68750715,94884882.29415387
bg_164,164,110740803.32611112,58025155.148184545,284865802.2460813,308120392.25027335,67164792.28043129,81345069.31280822
bg_165,165,90310777.06970851,2721400464.559474,323225991.6572484,72399816.13354334,480496106.64085037,5830917.488000745
bg_166,166,76362645.95964031,62707202.79521302,18223806.8041977,2508931899.4838448,966632804.7102342,43838339.50000652
bg_167,167,72263074.96708897,511502147.433672,124775867.07813571,259513493.5205865,48358493.04531328,627285712.6679229
bg_168,168,5341459.820754727,57639296.6322281,120508282.72447258,89684707.73628455,645098101.7994392,342007753.7871566
bg_169,169,149519304.23213553,116993763.26087652,17691602.763991073,413780008.9168596,84092915.82679687,14322082.622443883
bg_170,170,4604509.652481018,489205583.91658765,178748415.72325015,506908023.8568282,291892260.90231824,123915049.61397526
bg_171,171,586874744.4807488,152604780.0152582,604803366.7340385,128285740.24643873,81411273.5500635,6289147.299097145
bg_172,172,152709771.95572838,11437622.70090832,1601863.8426487178,10132243.705287565,3182580144.0762267,285384998.14111155
bg_173,173,178631560.15027142,22404411.993054826,25469540.10847903,363812343.3764993,21192622.529009357,292105838.83200884
bg_174,174,65315167.14147466,30764471.507916834,187398794.0501972,3433622860.3703856,83213038.20492494,20934324.251282714
bg_175,175,18778289.64819966,37886576.37985958,26520167.57347231,39456212.72421059,62105833.562585086,1087550873.638821
bg_176,176,298326382.7290719,117168486.9009316,288541455.6733581,137917598.4443496,178911229.23130307,6349017.920324851
bg_177,177,330709470.37557906,51836747.75594989,318299391.3726919,100751238.63728157,1393191839.6061385,29817535.8674216
bg_178,178,37422855.37987483,1030485291.8373073,54358899.313469514,23649727.208132006,9568705.604853336,30481341.6769347
bg_179,179,382046588.86232066,9531248.00825242,87028995.08709861,77398857.8285356,114815941.54581067,377151148.63685477
bg_180,180,177363743.4942036,1534389010.179597,469865725.22170377,735051378.861496,115468369.64510325,161540308.9874365
bg_181,181,38924869.954966374,3232636.109042328,420574872.6997774,24375836.67672468,251555232.87929097,4478205828.478049
bg_182,182,1468469254.6652226,585980378.0980312,122560757.92308019,322528191.7307867,273160032.108533,83754603.7927015
bg_183,183,321643686.69585115,926870053.152902,34752885.26425627,175260128.0876353,78246587.9948953,946471658.5941224
bg_184,184,131586386.8284457,16638878.461604027,88695235.59627621,740010695.9239758,48308937.23141505,28469031.872965626
bg_185,185,62151305.16891467,88664353.75618955,85813128.34209327,27539726.390461043,271245046.2270665,426382598.9642304
bg_186,186,90528201.86979187,23359694.31529524,501621555.4311781,572106030.9174658,40238520.415565744,138541952.37796065
bg_187,187,18191838.304055672,505069090.26315254,52371169.675933085,3813255.8661097293,45617991.4300029,101871325.48894158
bg_188,188,307161130.8044882,876631149.59855,374451629.3951217,498608608.5996857,62026985.69308148,14376609.008926336
bg_189,189,31786418.929780837,168322157.4631934,34699023.60668592,9531298.36874357,613878708.5829197,205957995.58404619
bg_190,190,35233161.31905411,81672638.93959728,204137788.07220855,828558757.9947996,565294108.6018637,52821939.73282261
bg_191,191,3240380.5192894447,31259398.33974483,309804053.1961456,27984727.317875635,34885719.55879958,1077007112.4441602
bg_192,192,69768278.42321222,186682316.39717007,424709452.0788475,68429584.07530814,39345674.09889264,705612386.1034615
bg_193,193,551986681.5859988,349043871.461176,73362640.58162917,85924182.54190616,246670038.04475594,4478205820.9787855
bg_194,194,100953512.73085299,14408641.469182922,72298435.68527155,169729661.65586483,1380333450.8658998,116742860.96536008
bg_195,195,94479537.51215948,803659603.2337353,71672749.87778768,31528302.70792608,82764752.68314017,86769655.99090153
bg_196,196,428511311.31566423,365360481.26707983,200448356.34590387,15837598.427106647,12733927.729936996,62673455.70831392
bg_197,197,307285680.5363075,168221827.28694576,25168309.54251066,682128201.5495961,3182580139.2443027,107490713.03701173
bg_198,198,77109996.47371493,1357882452.1346931,110312884.5992734,63556821.95531507,72295993.54363829,3965661382.437978
