"";"ID";"CPUzeit"
"1";"i-0b6b44d541e464f3a3f";480000
"2";"i-0d2382857f8ee01d61c";480000
"3";"i-05c0fd0cb09a1f797dc";479984
"4";"i-024cc32938386e80d77";15
"5";"i-0804231cb71adf8fe42";480000
"6";"i-0edb7eaf481433316d4";480000
"7";"i-0070df0fd717a7ba6a2";480000
"8";"i-031b1b201c267efb912";480000
"9";"i-02cf5d71a7b502b1228";10920
"10";"i-0836d5c77841f448a91";0
"11";"i-0bd6911fd17e817cc87";479999
"12";"i-0e215a7b4bcc410d35c";469079
"13";"i-0917b88133e0a143451";479999
"14";"i-0157d9f86310287d034";240000
"15";"i-0d25d9524d9f85f3706";480000
"16";"i-00e2f023122d28a1e6f";480000
