"";"ID";"CPUzeit"
"1";"i-024cc32938386e80d77";240000
"2";"i-0917b88133e0a143451";480000
"3";"i-009feceab98978060d9";480000
"4";"i-05c0fd0cb09a1f797dc";480000
"5";"i-0edb7eaf481433316d4";0
"6";"i-02cf5d71a7b502b1228";480000
"7";"i-0bd6911fd17e817cc87";480000
"8";"i-0836d5c77841f448a91";469079
"9";"i-0b6b44d541e464f3a3f";15
"10";"i-00e2f023122d28a1e6f";479999
"11";"i-0e215a7b4bcc410d35c";479984
"12";"i-0157d9f86310287d034";480000
"13";"i-0d2382857f8ee01d61c";480000
"14";"i-0d25d9524d9f85f3706";480000
"15";"i-031b1b201c267efb912";480000
"16";"i-0070df0fd717a7ba6a2";479999
"17";"i-0804231cb71adf8fe42";480000
